interest_area,coding_interest_level,preferred_domain,current_degree,field_of_study,current_status,known_languages,frameworks_known,job_type_preference,job_experience,tech_inclination,recommended_job_role
Creativity,Advanced,Data Science,Masters,CS,Intern,"C,C++,Python,Java,SQL,JavaScript","Scikit-learn, PyTorch, Flask",Remote,None,High,Data Analyst
Logic,Intermediate,AI/ML,Bachelors,Non-CS,Job Seeker,C,None,Internship,3+,High,ML Engineer
Logic,None,Backend,Diploma,CS,Intern,Java,Django,Internship,3+,Medium,Backend Developer
Logic,Advanced,Backend,Masters,Non-CS,Trainee,JavaScript,"PyTorch, Flask, Scikit-learn",Internship,3+,High,Developer
Both,Intermediate,AI/ML,Diploma,Non-CS,Job Seeker,"R, JavaScript, Java","TensorFlow, React",Internship,1+,Low,Frontend Developer
Both,Advanced,Backend,Masters,CS,Intern,Python,"Scikit-learn, TensorFlow",Internship,3+,Medium,Backend Developer
Creativity,Intermediate,Cybersecurity,Bachelors,Non-CS,Job Seeker,"SQL, C, R","React, PyTorch",Internship,3+,Low,Cybersecurity Analyst
Both,None,Frontend,Bachelors,Non-CS,Pursuing Degree,Python,"Flask, Django",Remote,None,High,Intern
Creativity,Intermediate,DevOps,Bachelors,Non-CS,Job Seeker,"SQL, JavaScript, C++", React,Internship,3+,Low,Frontend Developer
Both,Advanced,DevOps,Bachelors,CS,Job Seeker," C, SQL, JavaScript","TensorFlow, Scikit-learn, PyTorch",Freelance,None,High,DevOps
Logic,None,Data Science,Diploma,Non-CS,Trainee,"C++, Java, C",Flask,Full-time Job,1+,High,Data Analyst
Both,Beginner,Frontend,Masters,Non-CS,Intern,"Java, C++","PyTorch, TensorFlow",Full-time Job,1+,Low,Data Analyst
Creativity,Advanced,Backend,Masters,Non-CS,Pursuing Degree,"Python, C++","NodeJS , React, Scikit-learn",Full-time Job,1+,High,Backend Developer
Logic,Beginner,AI/ML,Masters,CS,Trainee,"C++, SQL, JavaScript, Java","Django, PyTorch",Full-time Job,1+,Medium,ML Engineer
Both,Beginner,DevOps,Bachelors,Non-CS,Working Professional,"SQL, C","Django, Scikit-learn, Flask",Freelance,1+,High,DevOps
Logic,Intermediate,Full Stack,Bachelors,Non-CS,Intern,C++,Django,Remote,3+,Medium,Backend Developer
Creativity,Intermediate,Full Stack,Diploma,CS,Job Seeker,"R, SQL","PyTorch, Flask",Internship,None,Medium,Intern
Logic,Beginner,DevOps,Diploma,CS,Pursuing Degree,"C, SQL, C++","Flask, TensorFlow, PyTorch",Onsite,None,Medium,Data Analyst
Creativity,None,DevOps,Masters,CS,Working Professional,"JavaScript, Python","Django, Flask, Node",Internship,3+,High,DevOps
Logic,None,Full Stack,Diploma,Non-CS,Job Seeker,"Python, R, C","Flask, TensorFlow",Onsite,1+,High,Intern
Both,Intermediate,Backend,Diploma,CS,Trainee,"JavaScript, C, C++, Java","Flask, PyTorch",Onsite,1+,Low,Intern
Creativity,Intermediate,DevOps,Bachelors,CS,Pursuing Degree,"C, Java, R, JavaScript","Django, Flask, TensorFlow",Freelance,None,High, DevOps
Logic,Advanced,Cybersecurity,Bachelors,Non-CS,Pursuing Degree,SQL,"Flask, Scikit-learn",Freelance,1+,High,Cybersecurity Analyst
Creativity,Beginner,Data Science,Masters,Non-CS,Intern,"SQL, R, JavaScript","React, Scikit-learn",Full-time Job,3+,Low,Data Analyst
Both,Advanced,Full Stack,Bachelors,Non-CS,Job Seeker,"SQL, None, R",TensorFlow,Full-time Job,None,Medium,Intern
Logic,Intermediate,DevOps,Masters,CS,Pursuing Degree,"Python, SQL, JavaScript",Flask,Full-time Job,1+,Medium,DevOps
Both,Advanced,AI/ML,Masters,Non-CS,Intern,"JavaScript, R, Python","Node, TensorFlow",Freelance,1+,Medium,"ML Intern
"
Logic,Intermediate,Full Stack,Bachelors,CS,Trainee,"C++, R", React,Remote,1+,Medium,Frontend Intern 
Logic,Advanced,Data Science,Diploma,Non-CS,Trainee,"C, Java, C++",React,Full-time Job,1+,Medium,Data Analyst
Both,None,AI/ML,Diploma,Non-CS,Trainee,None,"Flask, Node",Internship,1+,Low,Intern
Both,Intermediate,Data Science,Bachelors,CS,Pursuing Degree,"C++, R, Java, Python","Flask, PyTorch, React",Internship,3+,High,Data Analyst
Logic,Intermediate,Data Science,Masters,CS,Job Seeker,Python,TensorFlow,Onsite,3+,High,ML Engineer
Creativity,Advanced,Cybersecurity,Masters,CS,Pursuing Degree,Java,"React, PyTorch, Flask",Remote,3+,Low,Cybersecurity Analyst
Both,Advanced,Full Stack,Bachelors,CS,Job Seeker,"C, JavaScript","TensorFlow, Flask, React",Onsite,None,Medium,Intern
Logic,Advanced,AI/ML,Bachelors,Non-CS,Intern,"Java, SQL, C","PyTorch, Flask, Node",Internship,None,Medium,Intern
Logic,Intermediate,Backend,Diploma,CS,Trainee,"Java, Python",Django,Onsite,3+,Low,Software Engineer
Both,Intermediate,AI/ML,Diploma,CS,Job Seeker,"R, SQL","Flask, Scikit-learn, React",Full-time Job,None,High,Data Analyst
Both,None,Full Stack,Masters,CS,Job Seeker,SQL,"Django, Flask",Freelance,None,Low,Developer
Logic,Advanced,DevOps,Bachelors,Non-CS,Job Seeker,"R, C, C++","Django, React, Node",Freelance,1+,High,DevOps
Logic,Beginner,Full Stack,Diploma,CS,Intern,"Python, SQL",React,Full-time Job,None,Low,Intern
Both,None,Full Stack,Masters,Non-CS,Pursuing Degree,"R, C, Java","PyTorch, Django",Full-time Job,None,High,Developer
Both,Intermediate,Cybersecurity,Diploma,Non-CS,Intern,"R, None","None, TensorFlow",Full-time Job,None,High,Cybersecurity Analyst
Logic,Beginner,Cybersecurity,Masters,Non-CS,Pursuing Degree,Python,"PyTorch, Flask",Remote,3+,High,Developer
Logic,Beginner,DevOps,Bachelors,CS,Trainee,C,None,Full-time Job,None,High,DevOps
Both,Beginner,Cybersecurity,Masters,Non-CS,Working Professional,C,"Flask, None",Full-time Job,None,Medium,Cybersecurity Analyst
Both,Intermediate,Backend,Bachelors,Non-CS,Working Professional,"Python, C, R",TensorFlow,Remote,1+,Medium,Backend Developer
Logic,Advanced,Data Science,Bachelors,Non-CS,Working Professional,"JavaScript, C, R",Node,Remote,1+,Medium,Data Analyst
Both,Intermediate,DevOps,Bachelors,CS,Trainee,"R, JavaScript, SQL","React, PyTorch, Django",Internship,None,High,DevOps
Both,Intermediate,Backend,Diploma,CS,Working Professional,"C, JavaScript, Java","Node,PyTorch",Remote,None,High,Backend Developer
Both,None,DevOps,Masters,CS,Trainee,"C++, Python, Java",Node,Onsite,None,Medium,DevOps
Logic,Advanced,AI/ML,Masters,Non-CS,Trainee, JavaScript,"Flask, Django",Freelance,3+,Medium,ML Engineer
Logic,Intermediate,AI/ML,Diploma,CS,Trainee,"R, Java, Python, JavaScript","React, Node, PyTorch",Freelance,None,Medium,Intern 
Creativity,None,Cybersecurity,Diploma,CS,Trainee,Python,"PyTorch, React",Remote,None,Medium,Intern
Logic,Advanced,AI/ML,Bachelors,Non-CS,Intern,JavaScript," Node, Scikit-learn",Internship,3+,High,Developer
Logic,None,Cybersecurity,Bachelors,Non-CS,Trainee,"R, JavaScript","Django, Scikit-learn, Node",Remote,1+,Medium,Backend Developer
Logic,Advanced,AI/ML,Bachelors,Non-CS,Working Professional,"JavaScript, Python","Flask, Node",Full-time Job,1+,Low,Developer
Both,Intermediate,DevOps,Bachelors,Non-CS,Intern,"Java, SQL",None,Remote,1+,High,DevOps
Both,Intermediate,AI/ML,Masters,Non-CS,Trainee,"JavaScript, Java",TensorFlow,Onsite,None,High,ML Engineer 
Both,Beginner,Backend,Diploma,CS,Pursuing Degree,"JavaScript, Java, SQL, R",PyTorch,Internship,3+,Low,Intern
Creativity,Intermediate,Full Stack,Bachelors,Non-CS,Job Seeker,"C++, C, SQL",TensorFlow,Onsite,None,Medium,Developer Intern 
Both,Beginner,Cybersecurity,Diploma,Non-CS,Intern,Python,"Node, Flask",Remote,None,High,Intern
Both,Beginner,Full Stack,Masters,Non-CS,Working Professional,C++,"Node, Flask, PyTorch",Full-time Job,None,Low,Backend Intern
Creativity,Intermediate,Full Stack,Masters,Non-CS,Pursuing Degree,C,Flask,Internship,1+,High,Full Stack Intern
Creativity,None,Data Science,Diploma,CS,Trainee,"C, JavaScript, C++","Scikit-learn, React",Internship,None,High,Data Analyst
Creativity,Intermediate,Cybersecurity,Bachelors,CS,Trainee,R,"Node, Django, React",Internship,1+,High,Cybersecurity Analyst
Creativity,Intermediate,Frontend,Masters,Non-CS,Trainee,Python,"Flask, Django",Internship,None,Medium,Frontend Intern 
Creativity,Intermediate,Data Science,Masters,Non-CS,Trainee,Python,"TensorFlow, Flask",Internship,1+,High,Data Analyst
Both,Advanced,DevOps,Diploma,Non-CS,Working Professional,"C, Java, SQL",PyTorch,Full-time Job,3+,Low,DevOps
Logic,Beginner,AI/ML,Diploma,CS,Job Seeker,SQL,"None, Django, TensorFlow",Remote,3+,Medium,ML Intern 
Creativity,Intermediate,Backend,Masters,Non-CS,Pursuing Degree,SQL,"React, Scikit-learn",Internship,1+,Medium,Intern
Creativity,Intermediate,Backend,Diploma,CS,Working Professional,None,"Node, React",Onsite,None,High,backend developer
Logic,Beginner,DevOps,Bachelors,CS,Intern,"C, Java, R","React, PyTorch",Onsite,1+,Low,DevOps
Creativity,None,DevOps,Diploma,Non-CS,Trainee,R,None,Onsite,None,Low,Cybersecurity Analyst
Both,Beginner,AI/ML,Diploma,CS,Job Seeker,C,"Flask, PyTorch",Remote,None,Medium,ML Engineer 
Both,Beginner,DevOps,Diploma,Non-CS,Working Professional,"SQL, Python, JavaScript, C","Flask, TensorFlow",Internship,None,Medium,Backend Developer
Both,Intermediate,Frontend,Masters,Non-CS,Trainee,"JavaScript,  C++","TensorFlow, React, Flask",Onsite,None,High,Frontend Developer
Logic,Advanced,DevOps,Diploma,CS,Intern,"Java, SQL, Python","Flask, TensorFlow, PyTorch",Freelance,None,Medium,DevOps
