interest_area,coding_interest_level,preferred_domain,current_degree,field_of_study,current_status,known_languages,frameworks_known,job_type_preference,job_experience,recommended_job_role,
Both,Advanced,DevOps,Diploma,CS,Job Seeker,Java,"Flask, None, React",Full-time Job,None,frontend developer,
Creativity,Intermediate,Backend,Masters,CS,Job Seeker,"Java, JavaScript, R","PyTorch, TensorFlow",Full-time Job,1+,ml engineer,
Creativity,Beginner,Full Stack,Diploma,CS,Job Seeker,Python,"Flask, Node, PyTorch",Onsite,1+,ml engineer,
Creativity,None,AI/ML,Diploma,Non-CS,Job Seeker,"None, SQL","PyTorch, React",Internship,1+,ml engineer,
Creativity,Advanced,Frontend,Diploma,CS,Trainee,"C++, Java, SQL",Django,Internship,None,backend developer,
Creativity,Advanced,Cybersecurity,Masters,Non-CS,Job Seeker,"C, SQL","None, React, TensorFlow",Full-time Job,1+,ml engineer,
Creativity,Beginner,Data Science,Diploma,Non-CS,Job Seeker,"C++, Java","Django, React",Freelance,None,frontend developer,
Logic,Intermediate,AI/ML,Masters,Non-CS,Pursuing Degree,JavaScript,"Flask, Node, React",Full-time Job,3+,frontend developer,
Creativity,Advanced,Cybersecurity,Bachelors,CS,Intern,"Python, R, SQL","Node, React",Freelance,1+,data analyst,
Logic,None,Frontend,Bachelors,Non-CS,Pursuing Degree,SQL,"Django, Node, PyTorch",Freelance,None,ml engineer,
Creativity,None,Cybersecurity,Masters,Non-CS,Intern,"Java, R, SQL",Django,Onsite,3+,backend developer,
Creativity,None,Backend,Masters,Non-CS,Working Professional,SQL,None,Onsite,1+,intern,
Logic,Intermediate,Frontend,Masters,Non-CS,Trainee,SQL,"None, Scikit-learn",Remote,1+,ml engineer,
Both,Intermediate,Frontend,Masters,Non-CS,Working Professional,"C++, JavaScript, None, Python","Scikit-learn, TensorFlow",Onsite,3+,ml engineer,
Creativity,None,Full Stack,Diploma,Non-CS,Pursuing Degree,"C, Python",PyTorch,Freelance,3+,ml engineer,
Creativity,Beginner,DevOps,Diploma,CS,Job Seeker,"C, JavaScript, Python, R","Node, PyTorch",Internship,None,ml engineer,
Both,Advanced,DevOps,Bachelors,CS,Pursuing Degree,"C, JavaScript, SQL","Flask, None, React",Full-time Job,3+,frontend developer,
Logic,Advanced,Data Science,Masters,CS,Job Seeker,"C, JavaScript, R, SQL","Flask, React, Scikit-learn",Onsite,1+,ml engineer,
Logic,None,Data Science,Masters,CS,Job Seeker,C++,Django,Full-time Job,1+,backend developer,
